A Fernandez;JoseM Sanchez Cuadrado;EAS Perez;;;;
R Arnau;JM Calabuig;E Erdogan;EAS Perez;;;
JL de la Rosa;H Falciani;JM Calabuig;LM Garcia Raffi;EAS Perez;;
LM Garcia Raffi;EAS Perez;MS Novales;;;;
F Mayoral;A Fernandez;F Naranjo;C Saez;EAS Perez;;
S Oltra;EAS Perez;;;;;
O Blasco;JM Calabuig;EAS Perez;;;;
JM Calabuig;O Delgado;MA Juan;EAS Perez;;;
JM Calabuig;FG Fontes;EJ Fernandez;S Okada;EAS Perez;;
JF Capdevila;JM Ruiz;JL Salinas;EAS Perez;;;
LM Garcia Raffi;EJ Fernandez;EAS Perez;;;;
EAS Perez;;;;;;
SO Crespo;S Romaguera;EAS Perez;;;;
