R Boutami;LM Fraile;MJG Borge;AJ Aas;B Fogelberg;LM Garcia Raffi;;
LM Fraile;AJ Aas;MJG Borge;B Fogelberg;LM Garcia Raffi;IS Grant;;
PF de Cordoba;LM Garcia Raffi;JM Sanchis;A Ferrando;;;;
EAS Perez;LM Garcia Raffi;JVS Perez;;;;;
LM Garcia Raffi;EAS Perez;FM Gimenez;;;;;
EAS Perez;LM Garcia Raffi;JVS Perez;;;;;
LM Fraile-Prieto;TF Thorsteinsen;K Gulda;JL Tain;H Mach;E Hagebø;;
LM Garcia Raffi;JG Raffi;JB Gilabert;;;;;
JB Gilabert;LM Garcia Raffi;;;;;;
A Algora;B Rubio;R Bartual;JL Tain;A Gadea;J Bea;LM Garcia Raffi;
A Algora;B Rubio;R Bartual;JL Tain;J Bea;LM Garcia Raffi;A Gadea;
Z Dombradi;A Algora;A Gadea;B Rubio;JL Tain;J Bea;LM Garcia Raffi;
J Rico;B Rubio;JL Tain;A Gadea;J Bea;LM Garcia Raffi;O Tengblad;
R Pico;V Romero-Garcia;V Sanchez Morcillo;LM Garcia Raffi;;;;
V Romero-Garcia;S Kuznetsova;E Cheron;JP Groby;S Felix;V Pagneux;;
L Barguet;V Romero-Garcia;N Jimenez;LM Garcia Raffi;;;;
LM Garcia Raffi;JM Calabuig;I FERRANDO;E FUSTER;;;;
C Gallart;LM Garcıa-Raffi;I Ferrando;;;;;
MS Escarti-Guillem;S Hoyas;LM Garcia Raffi;;;;;
ELM Hamham;N Jimenez;R Pico;LM Garcia Raffi;VJ Sanchez-Morcillo;;;
N Jimenez;JFR Archilla;Y Kosevich;V Sanchez Morcillo;LM Garcia Raffi;;;
L Salmeron-Contreras;N Jimenez;VJ Sanchez-Morcillo;LM Garcia Raffi;;;;
LM Garcia Raffi;LJ Salmeron-Contreras;N Jimenez;A Mehrem;;;;
JL de la Rosa;H Falciani;JM Calabuig;LM Garcia Raffi;EAS Perez;;;
N Jimenez;V Sanchez Morcillo;LM Garcia Raffi;JFR Archilla;J Redondo;;;
E Fuster-Garcia;V Romero-Garcia;L Garcia Raffi;J Sanchez-Perez;;;;
VJ Sanchez-Morcillo;N Jimenez;A Mehrem;R Pico;LM Garcia Raffi;;;
I Ferrando;LM Garcia Raffi;L Sierra;;;;;
L Sierra;IESM Moixent;LM Garcia Raffi;JG i Urgelles;;;;
LM Garcia Raffi;V Romero-Garcia;;;;;;
CG PALAU;IF PALOMARES;LM Garcia Raffi;;;;;
N Jimenez;R Pico;LM Garcia Raffi;V Romero-Garcia;;;;
LJ Salmeron-Contreras;A Cebrecos;N Jimenez;LM Garcia Raffi;R Pico;;;
V Sanchez Morcillo;LM Garcıa-Raffi;V Romero-Garcıa;R Pico;;;;
FM Russell;JFR Archilla;V Sanchez Morcillo;Y Kosevich;Y Gaididei;;;
V Sanchez Morcillo;LM Garcia Raffi;;;;;;
V Romero-Garcia;R Pico;I Perez-Arjona;J Redondo;V Espinosa;;;
D Tarrazo-Serrano;R Pico;V Romero-Garcia;A Cebrecos;;;;
LM Garcia Raffi;S Romaguera;EA SBnchez-Ptrez;J Buchanan;;;;
LM Garcia Raffi;EAS Perez;MS Novales;;;;;
LM Garcıa Raffi;;;;;;;
V Romero-Garcia;A Krynkin;JV Sanchez-Perez;S Castineira-Ibanez;;;;
A Gadea;B Rubio;JL Tan;J Rico;J Bea;LM Garcia Raffi;P Kleinheinz;
MA Sanchez-Granero;FG Arenas;J Rodriguez-Lopez;F Balibrea;AL Bas;;;
LM Garcıa-Raffi;EJ Fernandez;EAS Perez;;;;;
E Fuster-Garcia;V Romero-Garcia;L Garcia Raffi;J Sanchez-Perez;;;;
