R Gaitan;A Hernandez Galeana;JM Rivera Rebolledo;P Fernandez;;;
MA Garcia March;F Gimenez;FR Villatoro;P Fernandez;;;
P Fernandez;IO Serrano;;;;;
A Ferrando;MA Garcia March;M Zacares;P Fernandez;JA Monsoriu;;
A Ferrando;M Zacares;MA Garcia March;P Fernandez;D Binosi;;
IA Camargo Toribio;P Fernandez;I Orquin Serrano;;;;
IA Camargo Toribio;P Fernandez;A Valdez;;;;
IA Camargo Toribio;PF Cordoba Castella;I Orquin Serrano;;;;
I Estevez Valdes;A Notario de la Torre;D Alvarez Lazo;;;;
IAC Toribio;P Fernandez;IO Serrano;MA Labrador;;;
IA Camargo Toribio;PF Cordoba Castella;I Orquin Serrano;;;;
A Ferrando;M Zacares;P Andres;P Fernandez;D Binosi;;
OF Tellez;ML Gallego;P Fernandez;RC Fernandez;;;
JM Rivera Rebolledo;J Peltoniemi;P Fernandez;;;;
A Ferrando;M Zacares;P Fernandez;;;;
P Fernandez;LM Garcia Raffi;JM Sanchis;A Ferrando;;;
A Ferrando;JJ Miret;E Silvestre;P Fernandez;;;
E Oset;JA Gomez Tejedor;F Cano;L Alvarez Ruso;JA Oller;S Hirenzaki;
JA Oller Berber;E Oset Baguena;A De Pace;P Fernandez;;;
IM Tkachenko;P Fernandez;;;;;
IM Tkachenko;P Fernandez;JM Belda;;;;
E Oset1;JAGTF Cano1;S Hirenzaki;P Fernandez;L Alvarez Ruso1;;
E Oset1;JAGTF Cano1;S Hirenzaki;P Fernandez;L Alvarez Ruso1;;
P Fernandez;;;;;;
P Fernandez;JJS Sala;MU Nunez;;;;
E Oset;S Hirenzaki;P Fernandez;;;;
P Fernandez;E Marco;H Muther;E Oset;A Faessler;;
E Oset;S Hirenzaki;P Fernandez;;;;
JJS Sala;P Fernandez;;;;;
RC Carrasco;P Fernandez;;;;;
E Marco Rubio;E Oset Baguena;P Fernandez;;;;
C Fernandez;;;;;;
