V Romero Garcia;N Jimenez;JP Groby;V Pagneux;;;;
V Romero Garcia;N Jimenez;JP Groby;O Richoux;G Theocharis;;;
J Boulvert;T Cavalieri;J Costa Baptista;L Schwan;V Romero Garcia;;;
M Mallejac;A Merkel;J Sanchez Dehesa;J Christensen;V Tournat;;;
J Plisson;A Pelat;F Gautier;V Romero Garcia;T Bourdon;;;
M Mallejac;A Merkel;J Sanchez Dehesa;J Christensen;V Tournat;;;
V Romero Garcia;N Jimenez;V Pagneux;JP Groby;;;;
V Romero Garcia;N Jimenez;O Richoux;G Theocharis;JP Groby;;;
E Ballestero;V Romero Garcia;N Jimenez;JP Groby;H Aygun;S Dance;;
N Jimenez;T Cox;JP Groby;VR Garcia;;;;
S Dance;E Ballestero;H Aygun;N Jimenez;JP Groby;V Romero Garcia;;
V Romero Garcia;N Jimenez;JP Groby;;;;;
I Herrero Dura;AC Ruiz;LM Garcia Raffi;V Romero Garcia;;;;
E Ballestero;;;;;;;
A Merkel;V Romero Garcia;JP Groby;J Li;J Christensen;;;
W Huang;L Schwan;V Romero Garcia;JM Genevaux;JP Groby;;;
V Romero Garcia;N Lamothe;G Theocharis;O Richoux;LM Garcia Raffi;;;
M Mallejac;A Merkel;J Sanchez Dehesa;J Christensen;V Tournat;;;
J Boulvert;T Cavalieri;V Romero Garcia;JP Groby;G Gabard;A Ross;;
LM Garcia Raffi;M Lazaro;A Niemczynowicz;V Romero Garcia;;;;
A Cebrecos;V Romero Garcia;JP Groby;;;;;
N Jimenez;W Huang;V Romero Garcia;V Pagneux;TJ Cox;JP Groby;;
V Romero Garcia;N Lamothe;G Theocharis;O Richoux;LM Garcia Raffi;;;
VR Garcia;N Jimenez;O Richoux;G Theocharis;JP Groby;V Pagneux;;
W Huang;L Schwan;V Romero Garcia;JM Genevaux;JP Groby;;;
APL Merkel;V Romero Garcia;JP Groby;J Li;J Christensen;;;
I Herrero Dura;A Cebrecos;VR Garcia;LM Garcia Raffi;N Jimenez;R Pico;;
T Cavalieri;L Schwan;V Romero Garcia;JP Groby;G Gabard;;;
J Leng;V Romero Garcia;JP Groby;A Pelat;R Pico;G Francois;;
J Zhang;V Romero Garcia;G Theocharis;O Richoux;V Achilleos;;;
W Huang;L Schwan;V Romero Garcia;JM Genevaux;JP Groby;;;
M Mallejac;A Merkel;J Sanchez Dehesa;J Christensen;V Tournat;;;
W Huang;L Schwan;V Romero Garcia;JM Genevaux;JP Groby;;;
V Romero Garcia;N Jimenez;JP Groby;V Pagneux;;;;
J Zhang;V Romero Garcia;G Theocharis;O Richoux;V Achilleos;;;
T Cavalieri;A Cebrecos;JP Groby;V Romero Garcia;C Chaufour;;;
LM Garcia Raffi;N Lamothe;O Richoux;G Theocharis;V Romero Garcia;;;
N Jimenez;V Romero Garcia;V Pagneux;JP Groby;;;;
N Jimenez;V Romero Garcia;LM Garcia Raffi;F Camarena;K Staliunas;;;
N Jimenez;JP Groby;V Romero Garcia;;;;;
N Jimenez;V Tournat;V Romero Garcia;V Sanchez Morcillo;;;;
JP Groby;V Pagneux;V Romero Garcia;N Jimenez;;;;
M Mallejac;V Tournat;JP Groby;V Romero Garcia;A Merkel;;;
N Jimenez;JP Groby;V Romero Garcia;;;;;
N Jimenez;V Romero Garcia;LM Garcia Raffi;F Camarena;K Staliunas;;;
A Geslain;V Romero Garcia;JP Groby;J Sanchez Dehesa;S Raetz;;;
N Jimenez;TJ Cox;V Romero Garcia;JP Groby;AO Messiaen;;;
A Geslain;V Romero Garcia;JP Groby;F Cervera;J Sanchez Dehesa;;;
JP Groby;A Lardeau;V Romero Garcia;;;;;
LM Garcia Raffi;L Salmeron Contreras;I Herrero Dura;R Pico;J Redondo;;;
I Herrero Dura;R Pico Vila;VJ Sanchez Morcillo;LM Garcia Raffi;;;;
L Schwan;A Geslain;JP Groby;V Romero Garcia;;;;
N Jimenez;JP Groby;V Romero Garcia;V Pagneux;;;;
A Lardeau;JP Groby;VR Garcia;;;;;
N Jimenez;W Huang;JP Groby;V Pagneux;V Romero Garcia;;;
G Theocharis;O Richoux;V Romero Garcia;V Tournat;;;;
MM Botey;YC Cheng;R Herrero;V Romero Garcia;R Pico;;;
R Pico;V Romero Garcia;V Sanchez Morcillo;A Cebrecos;;;;
V Romero Garcia;R Pico;JO Vasseur;AC Hladky;V Sanchez Morcillo;;;
RP Vila;V Romero Garcia;VJ Sanchez Morcillo;K Staliunas;;;;
V Romero Garcia;A Cebrecos;R Pico;VJ Sanchez Morcillo;K Staliunas;;;
V Romero Garcia;LM Garcia Raffi;J Vasseur;AC Hladky Hennion;;;;
A Cebrecos;V Romero Garcia;R Pico;V Snchez Morcillo;;;;
V Romero Garcia;JO Vasseur;AC Hladky Hennion;LM Garcia Raffi;;;;
LM Garcia Raffi;V Romero Garcia;;;;;;
JV Sanchez Perez;LM Garcia Raffi;V Romero Garcia;;;;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;;
R Pico;VR Garcia;VJS Morcillo;LM Garcia Raffi;JVS Perez;K Staliunas;;
CR Michavilla;SC Ibanez;JVS Perez;VR Garcia;LM Garcia Raffi;;;
AC Ruiz;E Soliveres;VR Garcia;R Pico;IP Arjona;VE Rosello;JR Pastor;
VR Garcia;R Pico;IP Arjona;JR Pastor;VE Rosello;LM Garcia Raffi;;
V Snchez Morcillo;R Pico;LM Garcia Raffi Raffi;JV Sanchez Perez;;;;
JV Sanchez Perez;V Romero Garcia;K Attenborough;S Taherzadeh;;;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi Raffi;;;;;
S Castineira Ibanez;V Romero Garcia;JV Sanchez Perez;;;;;
V Romero Garcia;A Krynkin;LM Garcia Raffi;;;;;
JAL Molina;MJ Rivera;M Trujillo;V Romero Garcia;EJ Berjano;;;
VR Garcia;A Krynkin;LM Garcia Raffi;;;;;
EF Garcia;V Romero Garcia;LM Garcia Raffi;JV Sanchez Perez;;;;
EF Garcia;V Romero Garcia;LM Garcia Raffi;JV Sanchez Perez;;;;
EF Garcia;V Romero Garcia;LM Garcia Raffi;JV Sanchez Perez;;;;
E Fuster Garcia;V Romero Garcia;LM Garci  a Raffi;;;;;
V Romero Garcia;E Fuster Garcia;LM Garcia Raffi;JV Sanchez Perez;;;;
E Ballestero;J Rodriguez Sendra;JP Groby;N Jimenez;;;;
M Marechal;A Geslain;JP Groby;V Romero Garcia;O Dazel;;;
R Pico;V Romero Garcia;V Sanchez Morcillo;LM Garcia Raffi;;;;
Y Meng;VRGGG Jean;PGCB Sebastien;Y Meng;G Gabard;JP Groby;;
Y Meng;V Romero Garcia;G Gabard;JP Groby;C Bricault;S Goude;;
N Jimenez;J Ealo;R Muelas Hurtado;A Duclos;V Romero Garcia;;;
N Jimenez;JP Groby;V Romero Garcia;;;;;
Y Meng;V Romero Garcia;G Gabard;JP Groby;C Bricault;S Goude;;
V Romero Garcia;S Kuznetsova;E Cheron;JP Groby;S Felix;V Pagneux;;
V Romero Garcia;N Jimenez;V Pagneux;JP Groby;;;;
N Jimenez;J Ealo;R Muelas Hurtado;A Duclos;V Romero Garcia;;;
N Jimenez;JP Groby;V Romero Garcia;;;;;
JM Requena Plens;JP Groby;V Romero Garcia;N Jimenez;;;;
J Lenga;V Romero Garcia;F Gautier;A Pelat;R Pico;JP Groby;;
L Barguet;V Romero Garcia;N Jimenez;LM Garcia Raffi;;;;
M Mallejac;A Merkel;D Torrent;J Li;V Tournat;V Romero Garcia;;
V Romero Garcia;;;;;;;
N Jimenez;TJ Cox;JM Requena Plens;E Ballestero;JP Groby;;;
AAF Marin;V Romero Garcia;JP Groby;N Jimenez;F Cervera;;;
E Ballestero;N Jimenez;JP Groby;S Dance;V Romero Garcia;;;
W Huang;JP Groby;VR Garcia;N Jimenez;;;;
AO Krushynska;V Romero Garcia;F Bosia;NM Pugno;JP Groby;;;
V Romero Garcia;G Theocharis;O Richoux;A Merkel;V Tournat;;;
E Fuster Garcia;V Romero Garcia;LM Garcia Raffi;J Sanchez Perez;;;;
J Christensen;V Romero Garcia;R Pico;A Cebrecos;FJG de Abajo;;;
LM Garcia Raffi;V Romero Garcia;;;;;;
V Sanchez Morcillo;LM Garcia Raffi;V Romero Garcia;R Pico;;;;
V Romero Garcia;;;;;;;
VJ Sanchez Morcillo;N Jimenez;A Mehrem;R Pico;LM Garcia Raffi;;;
C Rubio;S Castineira Ibanez;V Romero Garcia;JV Sanchez Perez;;;;
N Jimenez;R Pico;LM Garcia Raffi;V Romero Garcia;;;;
LJ Salmeron Contreras;A Cebrecos;N Jimenez;LM Garcia Raffi;R Pico;;;
V Romero Garcia;R Pico;I Perez Arjona;J Redondo;V Espinosa;;;
D Tarrazo Serrano;R Pico;V Romero Garcia;A Cebrecos;N Jimenez;;;
E Fuster Garcia;V Romero Garcia;LM Garcia Raffi;J Sanchez Perez;;;;
V Romero Garcia;A Krynkin;JV Sanchez Perez;S Castineira Ibanez;;;;
