G Munoz-Gil;G Volpe;MA Garcia-March;E Aghion;A Argun;CB Hong
JAC Casares;N Oliver;;;;
JA Conejero;A Mundayadan;JB Seoane Sepulveda;;;
DF Alarcon Correa;E Balvis Outeirino;RJ Bendana Jacome;;;
C Jordan Lluch;JA Gomez Adrian;M Calvo Lance;JA Conejero;;
JA Conejero;AM Albors Sorolla;M Murillo Arcila;;;
C Jordan Lluch;RM Alcover Arandiga;JA Conejero;;;
E Vendrell;SMT Barrena;A Molina;A Conejero;JLP Lujan;NP Saez
JL Poza-Lujan;SM Terrasa Barrena;JA Conejero;A Molina Marco;;
JA Conejero;MA Fernandez Prada;LJ Rodriguez Muniz;;;
S Morillas;A Sapena;JA Conejero;J Camacho;;
JA Conejero;JA Prado;JB Seoane;;;
JA Conejero;;;;;
JC Cano;A Conejero;JL Posadas;JL Poza;;
P Varelas;F Larosa;S Hoyas;JA Conejero;F Contino;FF Nerini
JA Conejero;A Peris;R Vicente Arevalo;;;
Y Ahsini;JA Conejero;AA Juan;M Escoto;;
JL Poza;JL Posadas;JC Cano;JA Conejero;;
Y Ahsini;P Diaz Masa;B Ingles;JA Conejero;;
JA Conejero;L Goiriz;A Lopez-Martinez;;;
JA Conejero;A Falco;M Mora;;;
MEI Martinez;PMV Pla;JAA Daviu;L Dunai;JA Conejero;PF de Cordoba
JA Conejero;L Goiriz;A Lopez-Martinez;;;
JA Conejero;A Falco;M Mora;;;
JA Conejero;MF Enrich;;;;
