title,journal,year
Delta excitation in K+-nucleus collisions,,1998.0
Electrical Conductivity of Strongly Coupled Model and Real Plasmas,Conferencia,1998.0
Modeling of the Electronic Static Local Field Correction,Conferencia,1998.0
The role of N* resonances in two pion production,Conferencia,1997.0
N* resonances and 2pi production,Conferencia,1997.0
Algoritmos de calculo de funciones especiales basados en el metodo de las fracciones continuas,Universitat Politecnica de Valencia,1997.0
Algoritmos de calculo de funciones de bessel,Universitat Politecnica de Valencia,1997.0
Roper excitation in ({alpha} {alpha}) collisions on the proton,,1996.0
Lepton Scattering on Nuclei at x> 1 and the Nucleon Spectral Function,Arxiv preprint arXiv:,1996.0
Roper excitation in (a a) collisions on the proton,Conferencia,1996.0
Oscilaciones de neutrinos: el momento magnetico del neutrino,Revista espanola de fisica,1996.0
Introduccion a los metodos Monte Carlo,Universitat Politecnica de Valencia,1996.0
Mesonic and binding contributions to the EMC effect in a relativistic many-body approach,,1996.0
Narrow Bound States in Light and Medium Sigma Hypernuclei,Anales de Fisica,1996.0
Coherent meson production,Conferencia,1995.0
Coherent and incoherent pion production in light and heavy ion reactions,Conferencia,1995.0
Parametros termodinamicos y cineticos de plasmas de descarga,Universitat Politecnica de Valencia,1995.0
Analisis de la evolucion de un sistema confinado en mecanica cuantica mediante una descomposicion de la funcion de onda en autofunciones,Revista espanola de fisica,1995.0
The (3He t) and (p n) reactions in the delta excitation region,Conferencia,1994.0
Inclusive (He t) reaction on nuclei,PASOS Revista de Turismo y Patrimonio Cultural,1994.0
A Review on mesonic decay of Lambda hypernuclei,,1994.0
A set of integrals with Bessel functions useful in Intermediate Energy Physics,Anales de Fisica,1994.0
Coherent pion production in relativistic proton nucleus collisions,PASOS Revista de Turismo y Patrimonio Cultural,1992.0
Charge exchange reactions in nucleons and nuclei in hadron collisions,PASOS Revista de Turismo y Patrimonio Cultural,1992.0
Projectile and target delta excitation in the ([sup 3] He t) and ([sup 3] He [sup 3] He) reactions,No indexada,1992.0
Projectile and target delta excitation in reactions induced by light ions,,1992.0
Excitaciones de espin-isospin en nucleones y nucleos,,1992.0
Excitaciones de espin-isospin en nucleones y nucleos,Universitat de Valencia,1992.0
Can one measure the occupation number with a. Lambda. mesonic decay in nuclei,American Institute of Physics,1991.0
Narrow bound states in light and medium hypernuclei,Conferencia,1991.0
 mesonic decay in nuclei and the occupation number,,1990.0
Diagonalizacion de endomorfismos. Aplicaciones de la diagonalizacion de matrices,,
Sistema de ecuaciones diferenciales como modelos de problemas de redes electricas,,
Materials Applicable to an Axially-Laminated Synchronous Reluctance Machine Considering Mechanical and Electromagnetic Aspects A. Credo E. Kurvinen I. Petrov,,
Photonic Snake States,,
Molecular dynamics simulations of cavity formation in gold nanoparticles upon ultrashort laser irradiation,,
Tables for cumulative probability of the ex-Gaussian distribution Tablas de probabilidad acumulada para la distribucion ex-Gaussiana,,
Calculation of Some Integrals Arising in Heat Transfer in Geothermics,Mathematical Problems in Engineering,
Herramienta para la optimizacion de flujos metabolicos en un sistema biologico,,
El cuidador familiar: relacion entre la insatisfaccion con el cuidado y la carga,,
Sistema para el diagnostico de fallos en maquinas electricas con terminal Android utilizando el ruido acústico del motor. System for faults diagnostics of electrical machines,,
Remarks on the Representation Theory of the Moyal Plane,Advances in Mathematics,
Construction and analysis of a genome scale metabolic model for the cyanobacteria Synechocystis sp. PCC6803,,
The left-right mirror model: a short review,,
Analisis y diseno de fibras microestructuradas dispositivos fotonicos y guias,,
Una Reflexion sobre las Nuevas Tecnologias en la Ensenanza,,
Solitones espaciales en fibras de cristal fotonico,,
P102: Experimental and Modeling Analysis of Synechocystis sp. PCC 6803 Growth,,
Problemas de rutas en caminos forestales considerando multiples criterios,,
Feature Extraction and Similarity of Movement Detection during Sleep Based on Higher Order Spectra and Entrop y of the Actigraphy Signal: Results of the Hispanic Community,,
Aportes metodológicos para la introducción del turismo rural en la República de Cuba. Estudio de caso: zona turística de Viñales,,
Informe sobre la funcion hybrd. f,,
