"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Normal subgroups and class sizes of elements of prime power order","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866108142&doi=10.1090%2fS0002-9939-2012-11276-6&partnerID=40&md5=792b49e1fe248be83a2d23008c7ff317",""
"Akhlaghi Z.; Beltrán A.; José Felipe M.","Akhlaghi, Zeinab (26021016700); Beltrán, Antonio (7006241474); José Felipe, María (7005750167)","26021016700; 7006241474; 7005750167","Normal sections, class sizes and solvability of finite groups","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886837632&doi=10.1016%2fj.jalgebra.2013.09.033&partnerID=40&md5=4a7187328726059b432580318ab7155e",""
"Akhlaghi Z.; Beltrán A.; Felipe M.J.; Khatami M.","Akhlaghi, Zeinab (26021016700); Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Khatami, Maryam (26021312200)","26021016700; 7006241474; 7005750167; 26021312200","Normal subgroups and p-regular G-class sizes","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955782704&doi=10.1016%2fj.jalgebra.2011.04.004&partnerID=40&md5=8da50d47532c9e04547a7016a0332b6a",""
"Beltrán A.; Felipe M.J.; Melchor C.","Beltrán, Antonio (7006241474); Felipe, Mara José (7005750167); Melchor, Carmen (56436446800)","7006241474; 7005750167; 56436446800","Conjugacy classes contained in normal subgroups: An overview","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040821312&doi=10.22108%2fijgt.2017.21216&partnerID=40&md5=b03d4831385f92ac33ac721c272f643c","University of Isfahan"
"Felipe M.J.; Martínez-Pastor A.; Ortiz-Sotomayor V.M.","Felipe, M.J. (7005750167); Martínez-Pastor, A. (6602305095); Ortiz-Sotomayor, V.M. (57195401726)","7005750167; 6602305095; 57195401726","Zeros of irreducible characters in factorised groups","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048753778&doi=10.1007%2fs10231-018-0765-5&partnerID=40&md5=44ead3e4dbaf9af381a360bbe8ee784f","Springer Verlag"
"Akhlaghi Z.; Beltrán A.; Felipe M.J.; Khatami M.","Akhlaghi, Z. (26021016700); Beltrán, A. (7006241474); Felipe, M.J. (7005750167); Khatami, M. (26021312200)","26021016700; 7006241474; 7005750167; 26021312200","Structure of normal subgroups with three G-class sizes","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862980737&doi=10.1007%2fs00605-011-0290-8&partnerID=40&md5=c39eabd8cd8fcbd597e48a5c74bc22a8",""
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","On the diameter of a p-regular conjugacy class graph of finite groups","2002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036933413&doi=10.1081%2fAGB-120016018&partnerID=40&md5=a4c097a7bd86e81c4be969adf165fdbe",""
"Jose Felipe M.; Martinez-Pastor A.; Ortiz-Sotomayor V.M.","Jose Felipe, Maria (7005750167); Martinez-Pastor, Ana (6602305095); Ortiz-Sotomayor, Victor Manuel (57195401726)","7005750167; 6602305095; 57195401726","STRUCTURAL CRITERIA IN FACTORISED GROUPS VIA CONJUGACY CLASS SIZES","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135336432&doi=10.1017%2f9781108692397.0013&partnerID=40&md5=0e68ce4e1613a42a500ebff0c144b1f3","Cambridge University Press"
"Beltrán A.; Felipe M.J.; Melchor C.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Melchor, Carmen (56436446800)","7006241474; 7005750167; 56436446800","Graphs associated to conjugacy classes of normal subgroups in finite groups","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939172957&doi=10.1016%2fj.jalgebra.2015.06.040&partnerID=40&md5=56f7a709aa1b5e20ce65ddc3230f16d8","Academic Press Inc."
"Felipe M.J.; Martínez-Pastor A.; Ortiz-Sotomayor V.M.","Felipe, M.J. (7005750167); Martínez-Pastor, A. (6602305095); Ortiz-Sotomayor, V.M. (57195401726)","7005750167; 6602305095; 57195401726","Prime Power Indices in Factorised Groups","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032190106&doi=10.1007%2fs00009-017-1023-6&partnerID=40&md5=8246d7046362b4b9c13256af3c3e8a04","Birkhauser Verlag AG"
