"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Larosa F.; Hoyas S.; García-Martínez J.; Conejero J.A.; Fuso Nerini F.; Vinuesa R.","Larosa, Francesca (57210393661); Hoyas, Sergio (6508374001); García-Martínez, Javier (57222219411); Conejero, J. Alberto (57219968950); Fuso Nerini, Francesco (56074827200); Vinuesa, Ricardo (55553485100)","57210393661; 6508374001; 57222219411; 57219968950; 56074827200; 55553485100","Halting generative AI advancements may slow down progress in climate research","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160409828&doi=10.1038%2fs41558-023-01686-5&partnerID=40&md5=5c9170277088a090b0665227ee89fcd5","Nature Research"
"Guardiola C.; Hoyas S.; Pla B.; Blanco-Rodriguez D.","Guardiola, C. (8977925500); Hoyas, S. (6508374001); Pla, B. (23570935100); Blanco-Rodriguez, D. (36705790200)","8977925500; 6508374001; 23570935100; 36705790200","Analytical solution of the steady-state Kalman filter for observing drift on NOx models with application to turbocharged diesel engines; [Solucioń analítica de un filtro de Kalman estacionario para la observación de deriva en modelos de emisiones de NOx en motores diesel de automoción]","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941965394&doi=10.1016%2fj.riai.2015.02.005&partnerID=40&md5=c7a75c8e4c4c700fba84d84623091d00","Elsevier Doyma"
"Escarti-Guillem M.S.; Hoyas S.; García-Raffi L.M.","Escarti-Guillem, Mara S. (57211960009); Hoyas, Sergio (6508374001); García-Raffi, Luis M. (6602406968)","57211960009; 6508374001; 6602406968","Rocket plume URANS simulation using OpenFOAM","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075530550&doi=10.1016%2fj.rineng.2019.100056&partnerID=40&md5=24c0940b31fec1e467dc4a8e43e41eac","Elsevier B.V."
"Kraheberger S.; Hoyas S.; Oberlack M.","Kraheberger, S. (56350781300); Hoyas, S. (6508374001); Oberlack, M. (6603567719)","56350781300; 6508374001; 6603567719","DNS of Couette flows with wall transpiration up to Reτ = 1000","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033220895&partnerID=40&md5=0a73b4c4f2d7a21c0e5ca47198a33830","International Symposium on Turbulence and Shear Flow Phenomena, TSFP10"
"Hoyas S.; Fajardo P.; Pérez-Quiles M.J.","Hoyas, S. (6508374001); Fajardo, P. (24449439900); Pérez-Quiles, M.J. (37043796100)","6508374001; 24449439900; 37043796100","Influence of geometrical parameters on the linear stability of a Bénard-Marangoni problem","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963596188&doi=10.1103%2fPhysRevE.93.043105&partnerID=40&md5=ba0e9639df07e9c0c0b69f20d8968f14","American Physical Society"
"Eivazi H.; Le Clainche S.; Hoyas S.; Vinuesa R.","Eivazi, Hamidreza (57197791286); Le Clainche, Soledad (55466824600); Hoyas, Sergio (6508374001); Vinuesa, Ricardo (55553485100)","57197791286; 55466824600; 6508374001; 55553485100","NON-LINEAR ORTHOGONAL MODAL DECOMPOSITIONS IN TURBULENT FLOWS VIA AUTOENCODERS","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143814149&partnerID=40&md5=4819acba3a3ef87ae6a4fa014cd9ada7","International Symposium on Turbulence and Shear Flow Phenomena, TSFP"
"Schmekel D.; Alcántara-Ávila F.; Hoyas S.; Vinuesa R.","Schmekel, D. (57642659300); Alcántara-Ávila, F. (57202981276); Hoyas, S. (6508374001); Vinuesa, R. (55553485100)","57642659300; 57202981276; 6508374001; 55553485100","Predicting Coherent Turbulent Structures via Deep Learning","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128911862&doi=10.3389%2ffphy.2022.888832&partnerID=40&md5=680f30275f8e6a7adb6351b0127002dc","Frontiers Media SA"
"López-Núñez E.; Pérez-Quiles M.J.; Fajardo P.; Hoyas S.","López-Núñez, E. (57210734623); Pérez-Quiles, M.J. (37043796100); Fajardo, P. (24449439900); Hoyas, S. (6508374001)","57210734623; 37043796100; 24449439900; 6508374001","Effect of the horizontal aspect ratio on thermocapillary convection stability in annular pool with surface heat dissipation","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076107089&doi=10.1016%2fj.ijheatmasstransfer.2019.119140&partnerID=40&md5=7d6b30b8b35c49498b2e56f8a3de8089","Elsevier Ltd"
"Avsarkisov V.S.; Oberlack M.; Hoyas S.","Avsarkisov, V.S. (35078236200); Oberlack, M. (6603567719); Hoyas, S. (6508374001)","35078236200; 6603567719; 6508374001","New scaling laws for turbulent poiseuille flow with wall transpiration","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034220281&partnerID=40&md5=53fd9cab182fa6cf8673f395eb254cee","TSFP-8"
"Marín I.; Hoyas S.","Marín, Ignacio (7101680330); Hoyas, Sergio (6508374001)","7101680330; 6508374001","Basic networks: Definition and applications","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-63549125444&doi=10.1016%2fj.jtbi.2009.01.022&partnerID=40&md5=aa3a7d4f0e8334c99acb58d0e8b258cc",""
