title,journal,year
Preservacion de datos de investigacion: estrategias practicas,Anuario ThinkEPI,2018.0
Deteccion y prevencion de las malas practicas y la corrupcion desde la perspectiva de las matematicas,Revista internacional de transparencia e integridad,2018.0
Maharam type kernel representation for operators with a trigonometric domination,Aequationes mathematicae,2017.0
Factorization of operators through subspaces of spaces,Journal of the Australian Mathematical Society,2017.0
Politicas de almacenamiento y reutilizacion de datos de investigacion en revistas de cinco areas cientificas,,2017.0
Erratum to: Strong extensions for q summing operators acting in p convex Banach function spaces for  Weak* compactness of the closed unit ball of a,Positivity,2017.0
Power concave operators and representation of p convex and q concave banach lattices,Journal of Operator Theory,2017.0
Classical and new aspects of the domination and factorization of multilinear operators,,2016.0
Datos de investigacion en las revistas del campo de las matematicas aplicadas,Universitat Politecnica de Valencia,2016.0
The approximation property and Lipschitz mappings on Banach spaces,Arxiv preprint arXiv:,2016.0
Some inclusion results for interpolated summing operator ideals and integrability improvement of vector valued functions,Arxiv preprint arXiv:,2016.0
Didactica de las matematicas y arquitectura: la razon aurea en la Lonja de Valencia,Conferencia,2016.0
How to analyze the impact of research data with metrics: Models and services,PROFESIONAL DE LA INFORMACION,2016.0
WATS 16,,2016.0
Research Article Topological Dual Systems for Spaces of Vector Measure p Integrable Functions,,2016.0
Introducir Flip Education en nuestras aulas: Una experiencia en las practicas de Matematicas,Conferencia,2016.0
Journals  policies of storage and reuse of raw research data and their impact in five scientific areas,,2016.0
The Radon Nikodym theorem for vector measures and integral representation of operators on Banach function spaces,Conferencia,2016.0
Topological Dual Systems for Spaces of Vector Measure p Integrable Functions,Journal of Function Spaces,2016.0
The support localization property of the strongly embedded subspaces of banach function spaces,Studia Scientiarum Mathematicarum Hungarica,2015.0
Optimal domain of  concave operators and vector measure representation of  concave Banach lattices,Arxiv preprint arXiv:,2015.0
The Dvoretsky Rogers Theorem for vector valued integrals on function spaces,Arxiv preprint arXiv:,2015.0
Domination spaces and factorization of linear and multilinear summing operators,Arxiv preprint arXiv:,2015.0
Caracteristicas especiales de la difusion cientifica de matematicas,Anuario ThinkEPI,2015.0
Optimal domain of q concave operators and vector measure representation of q concave Banach lattices,Arxiv preprint arXiv:,2015.0
The product duality formula in banach space theory,Arxiv preprint arXiv:,2014.0
Narrow operators on functions spaces and their optimal extensions,Conferencia,2014.0
The topology associated to the norm conver gence of the integrals in spaces Lp of a vector measure for 1�� p,Conferencia,2014.0
On the Banach lattice structure of L 1_w of a vector measure on a\delta ring,Collectanea Mathematica,2014.0
Banach lattice sums with hereditary Fatou properties,Functiones et Approximatio Commentarii Mathematici,2014.0
Lattice copies of c0 and  in spaces of integrable functions for a vector measure,,2014.0
Ecoesferas: una propuesta de modelizacion en el ambito de la escuela de Caminos,Conferencia,2013.0
Algebra lineal y juegos de mesa,Conferencia,2013.0
Una aplicacion didactica de la modelizacion matematica: control de velocidad de vehiculos en vias rurales,Conferencia,2012.0
Contemporary Mathematics Volume 561 2012,,2012.0
Maurey Rosenthal factorization for p summing operators and Dodds Fremlin domination,Conferencia,2012.0
Lattice Copies of l2 in L1 of a Vector Measure and Strongly Orthogonal Sequences.,Journal of Function Spaces,2012.0
Disjointification methods in spaces of integrable functions with respect to a vector measure,,2012.0
Vector measures on (delta) rings and representation theorems for Banach lattices with the Fatou property,Universitat Politecnica de Valencia,2011.0
Experimentacion y validacion de estrategias de evaluacion en asignaturas de matematicas en los grados de Obras Publicas e Ingenieria Civil,Conferencia,2011.0
Interpolation of Vector Measures,Acta Mathematica Sinica English Series,2011.0
La modelizacion matematica para una ensenanza realista de las matematicas en el ambito de la Ingenieria,Conferencia,2011.0
Aprendizaje de las ecuaciones diferenciales a partir de modelos: dinamica de poblaciones,Anales de ASEPUMA,2011.0
Summability Properties for Multiplication Operators on Banach Function Spaces,Integral Equations and Operator Theory,2010.0
Complex interpolation of spaces of integrable function with respect to a vector measure,Collectanea Mathematica,2010.0
Continuous convexity and canonical partial metrics in normed spaces,Bulletin of the Belgian Mathematical Society Simon Stevin,2008.0
Generalized perfect spaces,Indagationes Mathematicae,2008.0
Vector Measures and Integration Operators,,2008.0
Operators from Classical Harmonic Analysis,,2008.0
Quasi Banach Function Spaces,,2008.0
Optimal Domains and Integral Extensions,,2008.0
p th Power Factorable Operators,,2008.0
Factorization of p th Power Factorable Operators through L q spaces,,2008.0
Tobacco smoke exposure in work centers before the 28/2005 law of health measures against smoking,Medicina Clinica,2007.0
