title,journal,year
Norm-attaining weighted composition operators on weighted Banach spaces of analytic functions,Archiv der Mathematik,2012.0
Cotype and complemented copies of  in spaces of operators,Czechoslovak Mathematical Journal,1996.0
Coincidence of topologies on tensor products of Kothe echelon spaces,Studia Math,1994.0
Una nota sobre la coincidencia de topologias en productos tensoriales,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1987.0
Function spaces and operators between them,Springer,2023.0
Frechet and (LB) sequence spaces induced by dual Banach spaces of discrete Cesaro spaces,,2021.0
On the boundedness of Toeplitz operators with radial symbols over weighted sup-norm spaces of holomorphic functions,Journal of Mathematical Analysis and Applications,2021.0
Associated weights for spaces of p-integrable entire functions,Quaestiones Mathematicae,2020.0
The differentiation operator in the space of uniformly convergent Dirichlet series,Mathematische Nachrichten,2020.0
A note on completeness of weighted normed spaces of analytic functions,Results in Mathematics,2017.0
Uniform mean ergodicity of -semigroups\newline in a class of Frechet spaces,Functiones et Approximatio Commentarii Mathematici,2014.0
Spectral measures in classes of Frechet spaces,Bulletin de la Societe Royale des Sciences de Liege,2004.0
Espacios de funciones meromorfas,Universidad Politecnica de Valencia,2001.0
The sets of monomorphisms and of almost open operators between locally convex spaces,American Mathematical Society,2001.0
A note on the Schwartz space B(Rn) endowed with the strict topology,Archiv der Mathematik,1990.0
Countable strict inductive limits and the bounded decomposition property,Royal Irish Academy,1990.0
Sobre ciertos espacios de funciones continuas con valores vectoriales.,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1981.0
Unbounded Bergman projections on weighted spaces with respect to exponential weights,Integral Equations and Operator Theory,2021.0
Operators acting in sequence spaces generated by dual Banach spaces of discrete Cesaro spaces,Functiones et Approximatio Commentarii Mathematici,2021.0
Nuclear weighted composition operators on weighted Banach spaces of analytic functions,American Mathematical Society,2021.0
Monomial basis in Korenblum type spaces of analytic functions,American Mathematical Society,2018.0
Reordenacion de series. El teorema de Levy-Steinitz,Gaceta de la Real Sociedad Matematica Espanola,2013.0
Toeplitz operators on the space of analytic functions with logarithmic growth,Journal of Mathematical Analysis and Applications,2009.0
Weighted inductive limits of spaces of entire functions,Monatshefte fur Mathematik,2008.0
Ultradifferentiable Fundamental Kernels of Linear Partial Differential Operators on Non-quasianalytic Classes of Roumieu Type,Publications of the Research Institute for Mathematical Sciences,2007.0
Strong duals of projective limits of (LB)-spaces,Czechoslovak Mathematical Journal,2002.0
Intersections of Frechet Schwartz spaces and their duals,Archiv der Mathematik,1997.0
Projective descriptions of inductive limits of Frechet sequence spaces,Archiv der Mathematik,1987.0
Representaciones de los espacios Ek (V E) y Dk (V E).,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1982.0
