"title","journal","year","otros_investigadores"
"Control of acoustic absorption in 1D scattering by indirect coupled resonant scatterers","arXiv preprint arXiv:",2015,"A Merkel;G Theocharis;O Richoux;V Romero-Garcia;V Pagneux"
"New arrangements of acoustic scatterers with high attenuation properties","INTER-NOISE and NOISE-CON Congress and Conference Proceedings",2010,"JV Sánchez-Pérez;S Castiñeira;V Romero-García;LM Garcia-Raffi"
"Non-locality of the Willis coupling in fluid laminates","Wave Motion",2022,"M Malléjac;T Cavalieri;V Romero-García;A Merkel;D Torrent;..."
"Application of metamaterials to control noise scattering during space vehicle lift-off","Euronoise",2021,"MS Escartí-Guillem;P Barriuso Feijoo;A Cebrecos;M Chimeno Manguán;..."
"Tunability of the resonant modes of an Acoustic Black Hole embedded in an infinite thin plate","INTER-NOISE and NOISE-CON Congress and Conference Proceedings",2017,"J Leng;A Pelat;V Romero-García;R Picó;JP Groby;F Gautier"
"Optimization of the acoustic systems","Encyclopedia of Artificial Intelligence",2009,"V Romero-García;E Fuster-García;JV Sánchez-Pérez;LM Garcia-Raffi;..."
"Impedance tube measurements of the effective acoustic properties of anisotropic porous media","",2023,"L Morin;M Nolan;T Cavalieri;M Gaborit;K Horoshenkov;..."
"Asymmetric metaporous treatment: Optimization for perfect sound absorption, 3d printing, and characterization with air flow","",2021,"J Boulvert;T Humbert;V Romero-Garcia;G Gabard;ER Fotsing;A Ross;..."
"Optimization of 3D printed porous materials accounting for manufacturing defects","INTER-NOISE and NOISE-CON Congress and Conference Proceedings",2021,"J Boulvert;T Cavalieri;V Romero-García;G Gabard;JP Groby"
"Crystallization ages and geochemistry of the Miners Bay and Cedar Bay Plutons, Prince William Sound, Alaska","Proceedings of the Keck Geology Consortium",2019,"VR Garcia"
"Perceptual evaluation of metamaterials as insulation partitions: A listening test within the COST action DENORMS (CA15125)","International Conference on Noise and Vibration Engineering (ISMA",2018,"L De Ryck;J Cuenca;K Jambrošić;C Glorieux;M Rychtarikova;..."
"Absorción Perfecta de baja frecuencia por paneles acústicos ultrafinos basados en metamateriales","",2017,"N Jiménez;V Romero-García;V Pagneux;JP Groby;AO Messiaen"
"3D-printed straw-inspired metamaterial for sound absorption","",2017,"W Huang;L Schwan;V Romero-Garcia;JM Genevaux;JP Groby"
"Metadiffusers: sound diffusers with deep-subwavelength dimensions","",2017,"N Jiménez;TJ Cox;V Romero-García;JP Groby"
"Perfect and broadband acoustic absorption by critical coupling","arXiv preprint arXiv:",2014,"V Romero-García;G Theocharis;O Richoux;A Merkel;V Tournat;..."
"Evanescent modes and level repulsion states in sonic crystal stubbed waveguides","arXiv preprint arXiv:",2011,"V Romero-Garcıa;JO Vasseur;LM García-Raffi;AC Hladky-Hennion"
"Wave propagation in beams with multiple resonators: conditions for weak scattering and the Born approximation","arXiv preprint arXiv:",2024,"M Lázaro;R Wiltshaw;RV Craster;V Romero-García"
"On the monopolar and dipolar acoustic responses of a passive single point scatterer subjected to low-Mach-number grazing air flow","Journal of Sound and Vibration",2024,"Y Meng;T Humbert;V Romero-García;JP Groby;G Gabard"
